ESTADO;CIDADE;NR_CANDIDATO;CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO;GENERO;GRAU_INSTRUCAO;COR_RACA
PR;TAMBOARA;15111;VEREADOR;LUIS GUILHERME GARCIA PEREIRA;LUIS GUILHERME DA FORNET;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
SE;POÇO VERDE;44111;VEREADOR;JOSE LUCIANO ARAÚJO;LUCIANO DO PT;UNIÃO;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
CE;MARANGUAPE;40777;VEREADOR;DIEGO ANDERSON MENDES DE CASTRO;DIEGO CASTRO;PSB;MASCULINO;SUPERIOR COMPLETO;PARDA
SP;ITU;12456;VEREADOR;GILVANETE DOMINGOS FERREIRA DE ALMEIDA;GIL DA SAÚDE;PDT;FEMININO;ENSINO FUNDAMENTAL COMPLETO;PARDA
GO;VICENTINÓPOLIS;15222;VEREADOR;VALDIR MALHEIRO DA SILVA;VALDIR DO AR;MDB;MASCULINO;SUPERIOR COMPLETO;PRETA
CE;FORTALEZA;25005;VEREADOR;CAIO NUNES GADELHA LOPES;CAIO GADELHA;PRD;MASCULINO;SUPERIOR COMPLETO;BRANCA
PI;PICOS;65000;VEREADOR;JOSÉ FABIANO DE OLIVEIRA;FABIANO OLIVEIRA;PC do B;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
PA;SANTARÉM;23234;VEREADOR;MARIA JOSE SILVA DE SOUSA;IRMÃ MARIA;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
MG;SÃO JOAQUIM DE BICAS;11111;VEREADOR;SEBASTIÃO CUSTODIO DE SOUSA;TIÃO DO POVO;PP;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
MG;ITAJUBÁ;11111;VEREADOR;FELIPE DIEGO DA SILVA MOTTA;FELIPE MOTTA ;PP;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
ES;VENDA NOVA DO IMIGRANTE;44000;VEREADOR;ROSIMERE CHRISTO BERUDE ALVES;MERINHA BERUDE;UNIÃO;FEMININO;ENSINO FUNDAMENTAL COMPLETO;PARDA
MG;BOM JESUS DA PENHA;55100;VEREADOR;CÁSSIO JUNIOR ARAUJO DE OLIVEIRA;CASSIO DENTISTA;PSD;MASCULINO;SUPERIOR COMPLETO;BRANCA
SP;MAUÁ;13113;VEREADOR;MARIA APARECIDA DE SOUZA MAIA;CIDA MAIA;PT;FEMININO;SUPERIOR COMPLETO;BRANCA
SP;CRUZÁLIA;44556;VEREADOR;SANDRA REGINA DOS SANTOS SILVA;SANDRA SANTOS;UNIÃO;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
PE;CUMARU;55055;VEREADOR;MARGARIDA MARIA BEZERRA SILVA;MARGARIDA DE CAMPOS VELHOS;PSD;FEMININO;ENSINO FUNDAMENTAL COMPLETO;PRETA
SP;SÃO PAULO;15456;VEREADOR;SANDRA CRISTINA LEITE SANTANA;SANDRA SANTANA;MDB;FEMININO;SUPERIOR COMPLETO;BRANCA
SP;PIRACICABA;27173;VEREADOR;PAULO RICARDO SGARBIERO;DR PAULO RICARDO;DC;MASCULINO;SUPERIOR COMPLETO;BRANCA
TO;COLMÉIA;15345;VEREADOR;CREONE PEREIRA SEVERINO;CREONE DA MARILIA;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
MT;NOVA MUTUM;25000;VEREADOR;SILVIO FACCIO;SILVIO FACCIO;PRD;MASCULINO;SUPERIOR COMPLETO;BRANCA
SP;PIRATININGA;22190;VEREADOR;CARLOS ALBERTO SILVA JUNIOR;SOLDADO CARLOS JUNIOR;PL;MASCULINO;SUPERIOR COMPLETO;PARDA
PE;GOIANA;11369;VEREADOR;RISALI PATRICIA DA SILVA;PATRICIA DA FARMÁCIA;PP;FEMININO;ENSINO MÉDIO COMPLETO;PRETA
